name,rating,review
,10,이런걸보고누가울어유치해죽겠네진짜흐어허어엉ㅠㅠㅠㅠ처음엔발암캐인줄알았는데진짜주인공은발리였다너무귀엽고사랑스럽고안아주고싶은캐릭터ㅜㅜㅜㅜ
,10,발리는이안에게최고의형이자아빠였다귀네비어의아름다운희생
,10,감동적이네요우리가기억하는부모의모습찾고싶은모습그게다리뿐이라도소중하네요참좋은영화
블랙아웃 : 인베이젼 어스,,
,1,ㅈㄴ재미없고지루한데지들만심각해서1시간이전에현타와서포기함
,2,제목이영화자체다정말아웃이다
,4,지루함을방해하는영화
,1,내평생이영화로쏘련영화는더이상없다
,1,5년전에다운받아서보다가재미없어서버린영화인데
,1,영화를제대로관람하기전에SF액션장르라서기대를했지만막상영화를보니깐정말로지루했고액션장면도그렇게많지가않음결말부분도이해가안되었으며이걸영화라고만들었는지정말로2020년개봉작중가장최악의영화가될거임
,7,러시아영화를새롭게알게됐다
,7,러시아영화인데다러시아원어더빙그대로상영하기때문에헐리우드식전개나더빙에익숙한사람들한테야좀생소한면이있을수는있다하지만SF영화치고CG분량도많은편이고전체적인CG만가지고도볼만한가치는충분히있다고본다반도의차량씬CG를보고실망했다면이영화의CG를감상해보기바란다우리나라CG업체들이이정도의질감만구현할수있다면좋겠다는생각이들정도로고퀄리티이다특히후반부에CG의진가를볼수있는장면이많다SF장르를좋아한다면킬링타임용으로는괜찮은작품참고로IMDB평점은이작품이반도와비슷한데개인적으로반도보다는이게더볼만했다
,7,이거헐리웃에서유명배우랑감독이연출했음천만각인데러시아영화라서홀대받네강철비2반도다만악보다천배는재밌다국산허접데기영화그만보고차라리이걸봐라국산영화그걸뭐하러돈주고보냐쯔즛
소년시절의 너,,
,10,아니얘네왜케연기잘햐요진짜걍개좋앗음쟤가내남친이길바라고바랫네
,10,연기연출엔딩크레딧에노래까지완벽
,10,세상으로부터버림받은두사람이서로의세상을지켜주는이야기
,10,세상은우리를지켜주지않지만어떤누군가가다른누군가를지켜줄수있다앞으로그런누군가가되고싶다
,10,오늘은종일이영화생각만날듯
,10,주동우라는배우면믿고봄
,10,주동우는매번연기의끝을보여주는것같아요너무감동적이었고이양천새쨩ㅠㅠ
,10,진짜부족한거하나없어요꼭보세요강추합니다그리고학교에서학생들에게이영화틀어줘도좋을만한스토리에요
